brand,domain,country,category,monthly_visits_est,emails,tech_stack,instagram,facebook,x_twitter,pricing_tier,notes
Nord Home,www.nordhome.de,DE,Home & Garden,28500,info@nordhome.de;support@nordhome.de,"GA4,Facebook Pixel,Gorgias,Hotjar,Judge.me,Klaviyo,Loox,ShipStation",https://instagram.com/nordhomehq,,,Growth,Strong social
Casa Garden,www.casagarden.fr,FR,Home & Garden,40210,info@casagarden.fr;support@casagarden.fr,"Bold,GA4,Gorgias,Hotjar,Judge.me,Klaviyo,Loox,PageFly",,https://facebook.com/casagardenfr,,Pro,
Eco Living,www.ecoliving.it,IT,Decor,31870,info@ecoliving.it;support@ecoliving.it,"Facebook Pixel,GA4,Gorgias,Hotjar,Judge.me,Loox,Omnisend,PageFly",,,https://x.com/ecolivingit,Entry,High review volume
Urban Tools,www.urbantools.es,ES,DIY Tools,36120,info@urbantools.es;support@urbantools.es,"Bundle Bear,Facebook Pixel,GA4,Gorgias,Hotjar,PageFly,Rebuy,ShipStation",https://instagram.com/urbantools_es,,,Growth,
Green Garden,www.greengarden.nl,NL,Outdoor,27790,info@greengarden.nl;support@greengarden.nl,"Facebook Pixel,GA4,Gorgias,Hotjar,Judge.me,Klaviyo,Loox,Omnisend",,https://facebook.com/greengarden_nl,,Pro,Rapid growth
Terra Decor,www.terradecor.se,SE,Decor,29440,info@terradecor.se;support@terradecor.se,"Bold,Facebook Pixel,GA4,Hotjar,Judge.me,Klaviyo,Loox,PageFly",,,,Entry,
Luxe Supply,www.luxesupply.pl,PL,Home & Garden,33110,info@luxesupply.pl;support@luxesupply.pl,"Facebook Pixel,GA4,Gorgias,Hotjar,Judge.me,Klaviyo,Loox,ShipStation",https://instagram.com/luxesupplypl,,,Growth,
Baltic Home,www.baltichome.ee,EE,Home & Garden,25160,info@baltichome.ee;support@baltichome.ee,"Bold,Facebook Pixel,GA4,Gorgias,Hotjar,Judge.me,Loox,Omnisend",,https://facebook.com/baltichomeee,,Entry,
Hearth Living,www.hearthliving.fi,FI,Home & Garden,30830,info@hearthliving.fi;support@hearthliving.fi,"Facebook Pixel,GA4,Gorgias,Hotjar,Judge.me,Klaviyo,Loox,PageFly",,,https://x.com/hearthliving,Pro,
Viva Comfort,www.vivacomfort.dk,DK,Home & Garden,29980,info@vivacomfort.dk;support@vivacomfort.dk,"Bold,GA4,Gorgias,Hotjar,Judge.me,Klaviyo,Loox,ShipStation",https://instagram.com/vivacomfortdk,,,Growth,
Nord Garden,www.nordgarden.de,DE,Outdoor,34720,info@nordgarden.de;support@nordgarden.de,"Facebook Pixel,GA4,Gorgias,Hotjar,Judge.me,Loox,Omnisend,PageFly",,https://facebook.com/nordgardende,,Pro,Strong social
Casa Living,www.casaliving.fr,FR,Decor,27690,info@casaliving.fr;support@casaliving.fr,"Bold,GA4,Gorgias,Hotjar,Judge.me,Klaviyo,Loox,ShipStation",,,https://x.com/casalivingfr,Entry,
Eco Tools,www.ecotools.it,IT,DIY Tools,33340,info@ecotools.it;support@ecotools.it,"Bundle Bear,Facebook Pixel,GA4,Gorgias,Hotjar,Loox,Omnisend,PageFly",https://instagram.com/ecotoolsit,,,Growth,Rapid growth
Urban Decor,www.urbandecor.es,ES,Decor,28910,info@urbandecor.es;support@urbandecor.es,"Facebook Pixel,GA4,Gorgias,Hotjar,Judge.me,Klaviyo,Loox,PageFly",,https://facebook.com/urbandecores,,Entry,
Green Living,www.greenliving.nl,NL,Home & Garden,31470,info@greenliving.nl;support@greenliving.nl,"Bold,Facebook Pixel,GA4,Gorgias,Hotjar,Judge.me,Loox,ShipStation",,,https://x.com/greenliving_nl,Pro,High review volume
